G;36.4375;BWV1001_bwv-1001_2.csv
C;32.125;BWV1001_bwv-1001_2.csv
A;24.125;BWV1001_bwv-1001_2.csv
Bb;21.25;BWV1001_bwv-1001_2.csv
F;20.125;BWV1001_bwv-1001_2.csv
Eb;17.4375;BWV1001_bwv-1001_2.csv
D F;11.875;BWV1001_bwv-1001_2.csv
F#;9.375;BWV1001_bwv-1001_2.csv
A D F;9.25;BWV1001_bwv-1001_2.csv
Bb D G;9.25;BWV1001_bwv-1001_2.csv
D E G;8.5;BWV1001_bwv-1001_2.csv
Bb D F;7.0;BWV1001_bwv-1001_2.csv
E;7.0;BWV1001_bwv-1001_2.csv
C D F#;5.75;BWV1001_bwv-1001_2.csv
Bb D;5.5;BWV1001_bwv-1001_2.csv
Bb G;5.25;BWV1001_bwv-1001_2.csv
C Eb G;5.25;BWV1001_bwv-1001_2.csv
C Eb;5.0;BWV1001_bwv-1001_2.csv
Ab;4.75;BWV1001_bwv-1001_2.csv
B;4.75;BWV1001_bwv-1001_2.csv
C#;4.0;BWV1001_bwv-1001_2.csv
A C# G;3.75;BWV1001_bwv-1001_2.csv
C# D E;3.5;BWV1001_bwv-1001_2.csv
A C;3.25;BWV1001_bwv-1001_2.csv
A F;3.25;BWV1001_bwv-1001_2.csv
C D;3.0;BWV1001_bwv-1001_2.csv
Eb G;3.0;BWV1001_bwv-1001_2.csv
A G;2.75;BWV1001_bwv-1001_2.csv
B D;2.75;BWV1001_bwv-1001_2.csv
A Bb D;2.5;BWV1001_bwv-1001_2.csv
C# E;2.25;BWV1001_bwv-1001_2.csv
C# E G;2.0;BWV1001_bwv-1001_2.csv
D Eb G;2.0;BWV1001_bwv-1001_2.csv
A F#;1.75;BWV1001_bwv-1001_2.csv
A D E;1.75;BWV1001_bwv-1001_2.csv
C# G;1.5;BWV1001_bwv-1001_2.csv
B D G;1.5;BWV1001_bwv-1001_2.csv
A Eb F;1.5;BWV1001_bwv-1001_2.csv
A C# E;1.5;BWV1001_bwv-1001_2.csv
A D G;1.375;BWV1001_bwv-1001_2.csv
Bb C;1.25;BWV1001_bwv-1001_2.csv
D Eb;1.25;BWV1001_bwv-1001_2.csv
Bb C Eb;1.0;BWV1001_bwv-1001_2.csv
F G;1.0;BWV1001_bwv-1001_2.csv
Ab D E;1.0;BWV1001_bwv-1001_2.csv
B D F;1.0;BWV1001_bwv-1001_2.csv
D E;1.0;BWV1001_bwv-1001_2.csv
Bb D F G;1.0;BWV1001_bwv-1001_2.csv
A C E;1.0;BWV1001_bwv-1001_2.csv
Bb Eb G;1.0;BWV1001_bwv-1001_2.csv
Bb F;1.0;BWV1001_bwv-1001_2.csv
