G#;3.0;BWV1002_violin-1.csv
D#;2.75;BWV1002_violin-1.csv
C;2.75;BWV1002_violin-1.csv
F;2.25;BWV1002_violin-1.csv
F#;36.5;BWV1002_violin-2.csv
B;36.5;BWV1002_violin-2.csv
E;29.5;BWV1002_violin-2.csv
D;29.0;BWV1002_violin-2.csv
C#;24.0;BWV1002_violin-2.csv
A;24.0;BWV1002_violin-2.csv
G;19.5;BWV1002_violin-2.csv
G#;11.0;BWV1002_violin-2.csv
A#;10.5;BWV1002_violin-2.csv
F;7.5;BWV1002_violin-2.csv
D#;7.0;BWV1002_violin-2.csv
C;5.5;BWV1002_violin-2.csv
F#;38.5;BWV1002_violin-3.csv
B;38.0;BWV1002_violin-3.csv
D;31.5;BWV1002_violin-3.csv
E;28.25;BWV1002_violin-3.csv
C#;28.0;BWV1002_violin-3.csv
A;23.75;BWV1002_violin-3.csv
G;17.25;BWV1002_violin-3.csv
G#;12.0;BWV1002_violin-3.csv
A#;7.25;BWV1002_violin-3.csv
D#;5.75;BWV1002_violin-3.csv
C;5.75;BWV1002_violin-3.csv
F;4.0;BWV1002_violin-3.csv
F#;46.25;BWV1002_violin-4.csv
B;37.5;BWV1002_violin-4.csv
E;37.0;BWV1002_violin-4.csv
C#;32.5;BWV1002_violin-4.csv
D;29.75;BWV1002_violin-4.csv
G;20.0;BWV1002_violin-4.csv
A;18.75;BWV1002_violin-4.csv
A#;9.75;BWV1002_violin-4.csv
G#;3.5;BWV1002_violin-4.csv
D#;2.5;BWV1002_violin-4.csv
C;2.0;BWV1002_violin-4.csv
F;1.0;BWV1002_violin-4.csv
F#;25.0;BWV1002_violin-5.csv
C#;22.0;BWV1002_violin-5.csv
B;21.5;BWV1002_violin-5.csv
E;21.0;BWV1002_violin-5.csv
D;20.0;BWV1002_violin-5.csv
G;13.0;BWV1002_violin-5.csv
A;12.5;BWV1002_violin-5.csv
A#;9.5;BWV1002_violin-5.csv
G#;4.0;BWV1002_violin-5.csv
D#;2.5;BWV1002_violin-5.csv
F;1.0;BWV1002_violin-5.csv
C;1.0;BWV1002_violin-5.csv
F#;67.0;BWV1002_violin-6.csv
B;67.0;BWV1002_violin-6.csv
E;57.0;BWV1002_violin-6.csv
D;53.0;BWV1002_violin-6.csv
C#;52.5;BWV1002_violin-6.csv
G;51.5;BWV1002_violin-6.csv
A;42.5;BWV1002_violin-6.csv
A#;16.0;BWV1002_violin-6.csv
G#;7.0;BWV1002_violin-6.csv
F;6.5;BWV1002_violin-6.csv
D#;5.0;BWV1002_violin-6.csv
C;3.0;BWV1002_violin-6.csv
E;40.0;BWV1002_violin-7.csv
B;40.0;BWV1002_violin-7.csv
F#;39.0;BWV1002_violin-7.csv
D;37.5;BWV1002_violin-7.csv
C#;34.5;BWV1002_violin-7.csv
A;28.75;BWV1002_violin-7.csv
G;27.5;BWV1002_violin-7.csv
A#;11.5;BWV1002_violin-7.csv
G#;11.25;BWV1002_violin-7.csv
F;6.0;BWV1002_violin-7.csv
D#;5.0;BWV1002_violin-7.csv
C;2.0;BWV1002_violin-7.csv
F#;31.1875;BWV1002_violin.csv
B;23.625;BWV1002_violin.csv
D;16.5;BWV1002_violin.csv
E;16.125;BWV1002_violin.csv
C#;15.1875;BWV1002_violin.csv
G;10.5625;BWV1002_violin.csv
A;10.0625;BWV1002_violin.csv
A#;6.0;BWV1002_violin.csv
G#;3.8125;BWV1002_violin.csv
C;3.6875;BWV1002_violin.csv
D#;2.625;BWV1002_violin.csv
F;2.25;BWV1002_violin.csv
E;31.0625;BWV1003_bwv-1003_1.csv
A;21.9375;BWV1003_bwv-1003_1.csv
C;15.75;BWV1003_bwv-1003_1.csv
D;14.125;BWV1003_bwv-1003_1.csv
B;13.75;BWV1003_bwv-1003_1.csv
F;11.9375;BWV1003_bwv-1003_1.csv
G;10.25;BWV1003_bwv-1003_1.csv
F#;6.625;BWV1003_bwv-1003_1.csv
